title,published,link,country,category
Venezuela orders arrest of exiled lawmakers fighting Maduro,1/9/2023,https://apnews.com/article/politics-venezuela-government-nicolas-maduro-caribbean-fb916e9c9556bacf2baf4f6d8fcfd598,Venezuela,Political Violence
Venezuelan court issues warrants for new opposition leaders,1/9/2023,https://www.aljazeera.com/news/2023/1/9/venezuelan-court-issues-warrants-for-new-opposition-leaders,Venezuela,Political Violence
"Bandas criminales de Ecuador actúan bajo alianza para garantizar el negocio de la droga, incluso a escala internacional, según la Policía Naciona",4/21/2021,https://www.eluniverso.com/noticias/seguridad/bandas-criminales-de-ecuador-actuan-bajo-alianza-para-garantizar-el-negocio-de-la-droga-incluso-a-escala-internacional-segun-la-policia-nacional-nota/,Ecuador,Gang Violence
Ecuador president declares state of emergency over drug violence,10/19/2021,https://www.france24.com/en/live-news/20211019-ecuador-president-declares-state-of-emergency-over-drug-violence,Ecuador,Gang Violence
Analysis: Ecuadoreans say president's crackdown on gangs fails to curb violence,12/15/2021,https://www.reuters.com/world/americas/ecuadoreans-say-presidents-crackdown-gangs-fails-curb-violence-2021-12-15/,Ecuador,Gang Violence
InSight Crime’s 2020 Homicide Round-Up,1/29/2021,https://insightcrime.org/news/analysis/2020-homicide-round-up/,Ecuador,General Report
"Thriving in the Shadows: Cocaine, Crime and Corruption in Ecuador",2/5/2020,https://insightcrime.org/investigations/cocaine-crime-corruption-ecuador/,Ecuador,Corruption
Brief: FARC in Venezuela? Depends on What You Mean,4/18/2011,https://insightcrime.org/news/brief/brief-are-the-guerrilla-really-out-of-venezuela/,Ecuador,Political Violence
Mafias recruit more youth to become hitmen in Ecuador,3/10/2021,https://www.ecuadortimes.net/mafias-recruit-more-youth-to-become-hitmen-in-ecuador/,Ecuador,Gang Violence
ONE SHELTER’S FIGHT TO PROTECT WOMEN’S RIGHTS IN ECUADOR,7/23/2021,https://borgenproject.org/tag/womens-rights-in-ecuador/,Ecuador,Sexual Violence
Ecuador: High Levels of Sexual Violence in Schools,12/9/2020,https://www.hrw.org/news/2020/12/09/ecuador-high-levels-sexual-violence-schools,Ecuador,Sexual Violence
